Description,Co-ordinates
Barbeque - Enterprize Park,"(-37.8202390666158, 144.959910438727)"
Barbeque - Barbeque (Docklands - not categorised),"(-37.8219867297684, 144.947270632022)"
Barbeque - Brick Single Hotplate,"(-37.8217875175357, 144.957267921996)"
Barbeque - Urban Design Single Hotplate,"(-37.8299740085141, 144.965159992732)"
Barbeque - Urban Design Double Hotplate,"(-37.8277830318739, 144.982952980632)"
Barbeque - Bluestone Double Hotplate,"(-37.7990318232721, 144.943431824152)"
Barbeque - Urban Design Single Hotplate,"(-37.7885474331189, 144.926229545123)"
Barbeque - Urban Design Double Hotplate - Alexandra Park,"(-37.8241264190802, 144.977526546641)"
Barbeque - Urban Design Double Hotplate,"(-37.8272700958416, 144.981192395015)"
Barbeque - Urban Design Single Hotplate,"(-37.7869785497088, 144.95295755838)"
Barbeque - Urban Design Double Hotplate,"(-37.7979461421323, 144.921420205265)"
Barbeque - Urban Design Double Hotplate - Warun Biik Park,"(-37.7962232357793, 144.926647354479)"
Barbeque - Urban Design Single Hotplate,"(-37.7978044430348, 144.926095148364)"
Barbeque - Urban Design Single Hotplate,"(-37.7794864233462, 144.939860204242)"
Barbeque - Urban Design Double Hotplate - Alexandra Park,"(-37.8246224193697, 144.977945862679)"
Barbeque - Fawkner Park Toddler Play Space,"(-37.8391633644094, 144.980667021681)"
Barbeque - Urban Design Single Hotplate,"(-37.8207420265614, 144.962503021056)"
Barbeque - Unknown model - JJ Holland Park,"(-37.7974424626108, 144.923370662567)"
Barbeque - Brick Single Hotplate,"(-37.7936371319885, 144.940318095482)"
Barbeque - Urban Design Double Hotplate,"(-37.8276800360085, 144.982417019765)"
Barbeque - Urban Design Double Hotplate - Royal Park,"(-37.7854523349727, 144.946188017402)"
Barbeque - Urban Design Double Hotplate,"(-37.809571010654, 144.954858909896)"
Barbeque - Urban Design Double Hotplate Spanning Two Units - Alexandra Park,"(-37.8242600533734, 144.977646619935)"
Barbeque - Urban Design Double Hotplate,"(-37.7830587361358, 144.944360438628)"
Barbeque - Barbeque (Docklands - not categorised),"(-37.8230649594663, 144.94180279899)"
Barbeque - Urban Design Double Hotplate,"(-37.8423871533564, 144.981908203787)"
Barbeque - Urban Design Single Hotplate,"(-37.7899871990245, 144.94502340389)"
Barbeque - Urban Design Single Hotplate,"(-37.8198213422369, 144.974801707537)"
Barbeque - Urban Design Single Hotplate - Fawkner Park,"(-37.8407762210928, 144.983938810609)"
Barbeque - Brick Single Hotplate,"(-37.8217756062805, 144.957287790679)"
Barbeque - Unknown Barbeque Type,"(-37.8188905200849, 144.942754984404)"
Barbeque - Urban Design Single Hotplate,"(-37.7850762057896, 144.962429016152)"
Barbeque - Barbeque (Docklands - not categorised),"(-37.8208690109621, 144.946531929423)"
Barbeque - Urban Design Double Hotplate,"(-37.8273630728151, 144.981437996496)"
Barbeque - Urban Design Single Hotplate,"(-37.7937519856621, 144.924040571257)"
Barbeque - Urban Design Double Hotplate,"(-37.8275329822723, 144.981908051517)"
Barbeque - Urban Design Double Hotplate,"(-37.7829165883469, 144.943625531237)"
Barbeque - Urban Design Double Hotplate,"(-37.8274468037021, 144.981675215773)"
Barbeque - Urban Design Single Hotplate,"(-37.7820010694697, 144.956631830226)"
Barbeque - Barbeque (Docklands - not categorised),"(-37.8231027986633, 144.941895019831)"
Barbeque - Urban Design Single Hotplate,"(-37.7955720155858, 144.930785490229)"
Barbeque - Urban Design Single Hotplate,"(-37.7978218295656, 144.926074333248)"
Barbeque - Urban Design Single Hotplate,"(-37.7850389969712, 144.962226443141)"
Barbeque - Urban Design Double Hotplate,"(-37.8204582399571, 144.944940135583)"
Barbeque - Urban Design Double Hotplate Spanning Two Units - Alexandra Park,"(-37.8244442251688, 144.977802351141)"
Barbeque - Urban Design Single Hotplate,"(-37.8200938157226, 144.975103148808)"
Barbeque - Urban Design Single Hotplate,"(-37.8296480355972, 144.964966025963)"
Barbeque - Urban Design Single Hotplate,"(-37.7868116243503, 144.952950809573)"
Barbeque - Urban Design Double Hotplate - Alexandra Park,"(-37.8245221006383, 144.977866119555)"
Barbeque - Urban Design Double Hotplate,"(-37.8277333769002, 144.982684722583)"
Barbecue - Fawkner Park Toddler Play Space,"(-37.8392182328173, 144.980724046416)"
Barbeque - Urban Design Double Hotplate,"(-37.8278504336664, 144.983405040927)"
Barbeque - Barbeque (Docklands - not categorised),"(-37.8196434391829, 144.946073429285)"
Barbeque - Docklands Barbeque - All Chromed - Docklands Community Gardens,"(-37.8205485324527, 144.945321953656)"
